ID,Link,Similarity,Tokens,File 1,File 2,Start 1,End 1,Detected Lines 1,Start 2,End 2,Detected Lines 2
1189559,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-odbc.cpp-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-tospace.cpp.html,0.050724637681159424,10,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-odbc.cpp,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-tospace.cpp,217,236,19,91,95,4
1190216,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-logreg.h-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-mkcca.h.html,0.27611940298507465,14,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-logreg.h,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-mkcca.h,12,13,1,41,42,1
1191803,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-WordStyleDlg.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-ss.cpp.html,0.09251101321585903,29,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-WordStyleDlg.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-ss.cpp,774,798,24,258,272,14
1192012,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-fa.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-agmattr.cpp.html,0.11709047900650503,12,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-fa.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-agmattr.cpp,147,152,5,227,231,4
1192672,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-timenet.cpp-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-mag.cpp.html,0.1760520430981907,15,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-timenet.cpp,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-mag.cpp,674,680,6,145,152,7
1193357,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-NppDarkMode.h-tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-ratngs.h.html,0.06033182503770739,11,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-NppDarkMode.h,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-ratngs.h,7,17,10,30,40,10
1195042,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-matrix_test.cc-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-cncom.cpp.html,0.09565217391304348,11,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-matrix_test.cc,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-cncom.cpp,11,14,3,68,70,2
1199216,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-paragraphs_internal.h-notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-FindReplaceDlg.h.html,0.026041666666666668,10,tesseract-MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==-flat-paragraphs_internal.h,notepad-plus-plus-MDEwOlJlcG9zaXRvcnkzMzAxNDgxMQ==-flat-FindReplaceDlg.h,91,97,6,226,230,4
1203908,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-graphmp-exp.h-caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-mpicxx.h.html,0.03676767676767677,11,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-graphmp-exp.h,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-mpicxx.h,98,100,2,1204,1204,0
1208399,https://htmlpreview.github.io/?https://github.com/Christina96/boilerplate-sample-matches/blob/main/Cpp/caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gtest-death-test.cc-snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-cache.h.html,0.011516314779270634,9,caffe-MDEwOlJlcG9zaXRvcnk2MTg3MDgwMw==-flat-gtest-death-test.cc,snap-MDEwOlJlcG9zaXRvcnk0Mjg4MzU3-flat-cache.h,317,321,4,158,165,7
